team,player,track,score
SLAY,Mystique,Super Sky Courtyard,15
SLAY,Mystique,DS Tick-Tock Clock,2
SLAY,Mystique,The Great Apple War,12
SLAY,Mystique,Underground Sky,4
SLAY,Mystique,Spooky Swamp,4
SLAY,Dots,Dark Matter Shrine,10
SLAY,Dots,Siberian Chateau,10
SLAY,Dots,SNES Bowser Castle 3,2
SLAY,Dots,Aquadrom Stage,3
SLAY,Dots,Superstar Dystopia,10
SLAY,Dots,Phendrana Frostbite,12
SLAY,Dots,Super Sky Courtyard,8
SLAY,Dots,DS Tick-Tock Clock,12
SLAY,Dots,The Great Apple War,4
SLAY,Dots,Underground Sky,3
SLAY,Dots,Spooky Swamp,8
SLAY,lsuth,Dark Matter Shrine,2
SLAY,lsuth,Siberian Chateau,2
SLAY,lsuth,SNES Bowser Castle 3,6
SLAY,lsuth,Aquadrom Stage,4
SLAY,lsuth,Superstar Dystopia,15
SLAY,lsuth,Phendrana Frostbite,15
SLAY,lsuth,Super Sky Courtyard,10
SLAY,lsuth,DS Tick-Tock Clock,10
SLAY,lsuth,The Great Apple War,3
SLAY,lsuth,Underground Sky,10
SLAY,lsuth,Spooky Swamp,3
SLAY,Bally (bag),Dark Matter Shrine,1
SLAY,Bally (bag),Siberian Chateau,0
SLAY,Bally (bag),SNES Bowser Castle 3,1
SLAY,Bally (bag),Aquadrom Stage,1
SLAY,Bally (bag),Superstar Dystopia,1
SLAY,Bally (bag),Phendrana Frostbite,1
SLAY,Bally (bag),Super Sky Courtyard,1
SLAY,Bally (bag),DS Tick-Tock Clock,1
SLAY,Bally (bag),The Great Apple War,1
SLAY,Bally (bag),Underground Sky,1
SLAY,Bally (bag),Spooky Swamp,1
SN,JakeUS,Dark Matter Shrine,12
SN,JakeUS,Siberian Chateau,3
SN,JakeUS,SNES Bowser Castle 3,8
SN,JakeUS,Aquadrom Stage,12
SN,JakeUS,Superstar Dystopia,2
SN,JakeUS,Phendrana Frostbite,10
SN,JakeUS,Super Sky Courtyard,6
SN,JakeUS,DS Tick-Tock Clock,15
SN,JakeUS,The Great Apple War,10
SN,JakeUS,Underground Sky,12
SN,JakeUS,Spooky Swamp,6
SN,Bowser498,Dark Matter Shrine,6
SN,Bowser498,Siberian Chateau,6
SN,Bowser498,SNES Bowser Castle 3,10
SN,Bowser498,Aquadrom Stage,2
SN,Bowser498,Superstar Dystopia,3
SN,Bowser498,Phendrana Frostbite,3
SN,Bowser498,Super Sky Courtyard,2
SN,Bowser498,DS Tick-Tock Clock,3
SN,Bowser498,The Great Apple War,15
SN,Bowser498,Underground Sky,15
SN,Bowser498,Spooky Swamp,15
SN,FolF,Dark Matter Shrine,4
SN,FolF,Siberian Chateau,8
SN,FolF,SNES Bowser Castle 3,3
SN,FolF,Aquadrom Stage,10
SN,FolF,Superstar Dystopia,8
SN,FolF,Phendrana Frostbite,8
SN,FolF,Super Sky Courtyard,4
SN,FolF,DS Tick-Tock Clock,6
SN,FolF,The Great Apple War,6
SN,FolF,Underground Sky,6
SN,FolF,Spooky Swamp,3
SN,JC,Dark Matter Shrine,3
SN,JC,Siberian Chateau,4
SN,JC,SNES Bowser Castle 3,4
SN,JC,Aquadrom Stage,8
SN,JC,Superstar Dystopia,6
SN,JC,Phendrana Frostbite,4
SN,JC,Super Sky Courtyard,3
SN,JC,DS Tick-Tock Clock,4
SN,JC,The Great Apple War,2
SN,JC,Underground Sky,2
SN,JC,Spooky Swamp,11
SN,Gwynne005 (bag),Dark Matter Shrine,0
SN,Gwynne005 (bag),Siberian Chateau,1
SN,Gwynne005 (bag),SNES Bowser Castle 3,0
SN,Gwynne005 (bag),Aquadrom Stage,0
SN,Gwynne005 (bag),Superstar Dystopia,0
SN,Gwynne005 (bag),Phendrana Frostbite,0
SN,Gwynne005 (bag),Super Sky Courtyard,0
SN,Gwynne005 (bag),DS Tick-Tock Clock,0
SN,Gwynne005 (bag),The Great Apple War,0
SN,Gwynne005 (bag),Underground Sky,0
SN,Gwynne005 (bag),Spooky Swamp,0
μ's,Flavian,Big Nature City,10
μ's,Flavian,Crystal Dungeon,12
μ's,Flavian,Ruinated Peach's Castle,12
μ's,Flavian,Desert Fort,15
μ's,Flavian,Yoshi Lagoon,6
μ's,Flavian,Rush City Run,15
μ's,Flavian,DS Tick-Tock Clock,15
μ's,Flavian,Mushroom Peaks,6
μ's,Flavian,Glacier Mine,10
μ's,Flavian,Lava Lake,15
μ's,Flavian,Rainbow Road: Solar Edition,6
μ's,Brighid,Big Nature City,12
μ's,Brighid,Crystal Dungeon,8
μ's,Brighid,Ruinated Peach's Castle,3
μ's,Brighid,Desert Fort,4
μ's,Brighid,Yoshi Lagoon,15
μ's,Brighid,Rush City Run,12
μ's,Brighid,DS Tick-Tock Clock,12
μ's,Brighid,Mushroom Peaks,10
μ's,Brighid,Glacier Mine,3
μ's,Brighid,Lava Lake,12
μ's,Brighid,Rainbow Road: Solar Edition,11
μ's,Loen,Big Nature City,3
μ's,Loen,Crystal Dungeon,10
μ's,Loen,Ruinated Peach's Castle,15
μ's,Loen,Desert Fort,12
μ's,Loen,Yoshi Lagoon,10
μ's,Loen,Rush City Run,3
μ's,Loen,DS Tick-Tock Clock,3
μ's,Loen,Mushroom Peaks,3
μ's,Loen,Glacier Mine,7
μ's,Loen,Lava Lake,8
μ's,Loen,Rainbow Road: Solar Edition,15
μ's,Mooray,Big Nature City,6
μ's,Mooray,Crystal Dungeon,6
μ's,Mooray,Ruinated Peach's Castle,6
μ's,Mooray,Desert Fort,3
μ's,Mooray,Yoshi Lagoon,3
μ's,Mooray,Rush City Run,10
μ's,Mooray,DS Tick-Tock Clock,4
μ's,Mooray,Mushroom Peaks,2
μ's,Mooray (bag),Glacier Mine,1
μ's,Mooray,Lava Lake,6
μ's,Mooray,Rainbow Road: Solar Edition,8
μ's,Loocas (bag),Big Nature City,0
μ's,Loocas (bag),Crystal Dungeon,0
μ's,Loocas (bag),Ruinated Peach's Castle,0
μ's,Loocas (bag),Desert Fort,0
μ's,Loocas (bag),Yoshi Lagoon,0
μ's,Loocas (bag),Rush City Run,1
μ's,Loocas (bag),DS Tick-Tock Clock,0
μ's,Loocas (bag),Mushroom Peaks,1
μ's,Loocas,Glacier Mine,3
μ's,Loocas (bag),Lava Lake,1
μ's,Loocas (bag),Rainbow Road: Solar Edition,1
Eι,Striker,Big Nature City,4
Eι,Striker,Crystal Dungeon,4
Eι,Striker,Ruinated Peach's Castle,4
Eι,Striker,Desert Fort,8
Eι,Striker,Yoshi Lagoon,12
Eι,Striker,Rush City Run,6
Eι,Striker,DS Tick-Tock Clock,10
Eι,Striker,Mushroom Peaks,12
Eι,Striker,Glacier Mine,15
Eι,Striker,Lava Lake,3
Eι,Striker,Rainbow Road: Solar Edition,3
Eι,CC,Big Nature City,15
Eι,CC,Crystal Dungeon,15
Eι,CC,Ruinated Peach's Castle,8
Eι,CC,Desert Fort,6
Eι,CC,Yoshi Lagoon,4
Eι,CC,Rush City Run,8
Eι,CC,DS Tick-Tock Clock,6
Eι,CC,Mushroom Peaks,8
Eι,CC,Glacier Mine,3
Eι,CC,Lava Lake,2
Eι,CC,Rainbow Road: Solar Edition,2
Eι,Yuto,Big Nature City,2
Eι,Yuto,Crystal Dungeon,3
Eι,Yuto,Ruinated Peach's Castle,2
Eι,Yuto,Desert Fort,10
Eι,Yuto,Yoshi Lagoon,8
Eι,Yuto,Rush City Run,2
Eι,Yuto,DS Tick-Tock Clock,2
Eι,Yuto,Mushroom Peaks,15
Eι,Yuto,Glacier Mine,5
Eι,Yuto,Lava Lake,10
Eι,Yuto,Rainbow Road: Solar Edition,4
Eι,Dragonfly99,Big Nature City,8
Eι,Dragonfly99,Crystal Dungeon,2
Eι,Dragonfly99,Ruinated Peach's Castle,10
Eι,Dragonfly99,Desert Fort,2
Eι,Dragonfly99,Yoshi Lagoon,2
Eι,Dragonfly99,Rush City Run,4
Eι,Dragonfly99,DS Tick-Tock Clock,8
Eι,Dragonfly99,Mushroom Peaks,4
Eι,Dragonfly99,Glacier Mine,3
Eι,Dragonfly99,Lava Lake,4
Eι,Dragonfly99,Rainbow Road: Solar Edition,3
Eι,Sparkster (bag),Big Nature City,1
Eι,Sparkster (bag),Crystal Dungeon,1
Eι,Sparkster (bag),Ruinated Peach's Castle,1
Eι,Sparkster (bag),Desert Fort,1
Eι,Sparkster (bag),Yoshi Lagoon,1
Eι,Sparkster (bag),Rush City Run,0
Eι,Sparkster (bag),DS Tick-Tock Clock,1
Eι,Sparkster (bag),Mushroom Peaks,0
Eι,Sparkster (bag),Glacier Mine,0
Eι,Sparkster (bag),Lava Lake,0
Eι,Sparkster (bag),Rainbow Road: Solar Edition,0
SLAY,Dots,Dark Matter Shrine,15
SLAY,Dots,SNES Bowser Castle 3,12
SLAY,Dots,Spooky Swamp,4
SLAY,Dots,SRB2K Green Hill Zone,4
SLAY,Dots,Skyline Avenue,12
SLAY,Dots,Cosmic Grove,12
SLAY,Dots,Wario's Climate Cataclysm,3
SLAY,Dots,GBA Bowser Castle 2,8
SLAY,Dots,Marble Towers,15
SLAY,Dots,Starry Cityscape,8
SLAY,Dots,Cruel Angel's Thesis,15
SLAY,Dots,GBA Bowser Castle 4,6
SLAY,Grantworth,Dark Matter Shrine,6
SLAY,Grantworth,SNES Bowser Castle 3,8
SLAY,Grantworth,Spooky Swamp,2
SLAY,Grantworth,SRB2K Green Hill Zone,3
SLAY,Grantworth,Skyline Avenue,3
SLAY,Grantworth,Cosmic Grove,10
SLAY,Grantworth,Wario's Climate Cataclysm,8
SLAY,Grantworth,GBA Bowser Castle 2,15
SLAY,Grantworth,Marble Towers,10
SLAY,Grantworth,Starry Cityscape,10
SLAY,Grantworth,Cruel Angel's Thesis,3
SLAY,Grantworth,GBA Bowser Castle 4,10
SLAY,lsuth,Dark Matter Shrine,12
SLAY,lsuth,SNES Bowser Castle 3,6
SLAY,lsuth,Spooky Swamp,15
SLAY,lsuth,SRB2K Green Hill Zone,6
SLAY,lsuth,Skyline Avenue,4
SLAY,lsuth,Cosmic Grove,2
SLAY,lsuth,Wario's Climate Cataclysm,10
SLAY,lsuth,GBA Bowser Castle 2,10
SLAY,lsuth,Marble Towers,3
SLAY,lsuth,Starry Cityscape,6
SLAY,lsuth,Cruel Angel's Thesis,4
SLAY,lsuth,GBA Bowser Castle 4,8
SLAY,Mystique,Dark Matter Shrine,10
SLAY,Mystique,SNES Bowser Castle 3,3
SLAY,Mystique,Spooky Swamp,3
SLAY,Mystique,SRB2K Green Hill Zone,10
SLAY,Mystique,Skyline Avenue,8
SLAY,Mystique,Cosmic Grove,15
SLAY,Mystique,Wario's Climate Cataclysm,6
SLAY,Mystique,GBA Bowser Castle 2,4
SLAY,Mystique,Marble Towers,6
SLAY,Mystique,Starry Cityscape,3
SLAY,Mystique,Cruel Angel's Thesis,2
SLAY,Mystique,GBA Bowser Castle 4,3
SLAY,Astro (bag),Dark Matter Shrine,1
SLAY,Astro (bag),SNES Bowser Castle 3,0
SLAY,Astro (bag),Spooky Swamp,0
SLAY,Astro (bag),SRB2K Green Hill Zone,1
SLAY,Astro (bag),Skyline Avenue,1
SLAY,Astro (bag),Cosmic Grove,1
SLAY,Astro (bag),Wario's Climate Cataclysm,1
SLAY,Astro (bag),GBA Bowser Castle 2,1
SLAY,Astro (bag),Marble Towers,1
SLAY,Astro (bag),Starry Cityscape,0
SLAY,Astro (bag),Cruel Angel's Thesis,1
SLAY,Astro (bag),GBA Bowser Castle 4,1
CPFG,Lochie,Dark Matter Shrine,4
CPFG,Lochie,SNES Bowser Castle 3,2
CPFG,Lochie,Spooky Swamp,12
CPFG,Lochie,SRB2K Green Hill Zone,8
CPFG,Lochie,Skyline Avenue,6
CPFG,Lochie,Cosmic Grove,6
CPFG,Lochie,Wario's Climate Cataclysm,12
CPFG,Lochie,GBA Bowser Castle 2,3
CPFG,Lochie,Marble Towers,12
CPFG,Lochie,Starry Cityscape,15
CPFG,Lochie,Cruel Angel's Thesis,12
CPFG,Lochie,GBA Bowser Castle 4,15
CPFG,Leb,Dark Matter Shrine,3
CPFG,Leb,SNES Bowser Castle 3,15
CPFG,Leb,Spooky Swamp,6
CPFG,Leb,SRB2K Green Hill Zone,12
CPFG,Leb,Skyline Avenue,10
CPFG,Leb,Cosmic Grove,8
CPFG,Leb,Wario's Climate Cataclysm,4
CPFG,Leb,GBA Bowser Castle 2,2
CPFG,Leb,Marble Towers,8
CPFG,Leb,Starry Cityscape,12
CPFG,Leb,Cruel Angel's Thesis,10
CPFG,Leb,GBA Bowser Castle 4,2
CPFG,svarti,Dark Matter Shrine,2
CPFG,svarti,SNES Bowser Castle 3,4
CPFG,svarti,Spooky Swamp,10
CPFG,svarti,SRB2K Green Hill Zone,15
CPFG,svarti,Skyline Avenue,15
CPFG,svarti,Cosmic Grove,3
CPFG,svarti,Wario's Climate Cataclysm,2
CPFG,svarti,GBA Bowser Castle 2,12
CPFG,svarti,Marble Towers,2
CPFG,svarti,Starry Cityscape,4
CPFG,svarti,Cruel Angel's Thesis,8
CPFG,svarti,GBA Bowser Castle 4,12
CPFG,draggy,Dark Matter Shrine,8
CPFG,draggy,SNES Bowser Castle 3,10
CPFG,draggy,Spooky Swamp,8
CPFG,draggy,SRB2K Green Hill Zone,2
CPFG,draggy,Skyline Avenue,2
CPFG,draggy,Cosmic Grove,4
CPFG,draggy,Wario's Climate Cataclysm,15
CPFG,draggy,GBA Bowser Castle 2,6
CPFG,draggy,Marble Towers,4
CPFG,draggy,Starry Cityscape,2
CPFG,draggy,Cruel Angel's Thesis,6
CPFG,draggy,GBA Bowser Castle 4,4
CPFG,mysterious (bag),Dark Matter Shrine,0
CPFG,mysterious (bag),SNES Bowser Castle 3,1
CPFG,mysterious (bag),Spooky Swamp,1
CPFG,mysterious (bag),SRB2K Green Hill Zone,0
CPFG,mysterious (bag),Skyline Avenue,0
CPFG,mysterious (bag),Cosmic Grove,0
CPFG,mysterious (bag),Wario's Climate Cataclysm,0
CPFG,mysterious (bag),GBA Bowser Castle 2,0
CPFG,mysterious (bag),Marble Towers,0
CPFG,mysterious (bag),Starry Cityscape,1
CPFG,mysterious (bag),Cruel Angel's Thesis,0
CPFG,mysterious (bag),GBA Bowser Castle 4,0
SN,JakeUS,Superstar Dystopia,15
SN,JakeUS,Windy Whirl,15
SN,JakeUS,Underground Sky,6
SN,JakeUS,Marble Towers,8
SN,JakeUS,3DS Neo Bowser City,10
SN,JakeUS,Starry Cityscape,15
SN,JakeUS,GBA Bowser Castle 2,12
SN,JakeUS,Big Nature City,15
SN,JakeUS,DS Tick-Tock Clock,4
SN,JakeUS,GBA Snow Land,2
SN,JakeUS,Dark Matter Shrine,10
SN,JakeUS,Desert Fort,10
SN,FolF,Superstar Dystopia,10
SN,FolF,Windy Whirl,4
SN,FolF,Underground Sky,8
SN,FolF,Marble Towers,6
SN,FolF,3DS Neo Bowser City,12
SN,FolF,Starry Cityscape,12
SN,FolF,GBA Bowser Castle 2,10
SN,FolF,Big Nature City,8
SN,FolF,DS Tick-Tock Clock,15
SN,FolF,GBA Snow Land,8
SN,FolF,Dark Matter Shrine,12
SN,FolF,Desert Fort,12
SN,JC,Superstar Dystopia,8
SN,JC,Windy Whirl,12
SN,JC,Underground Sky,15
SN,JC,Marble Towers,15
SN,JC,3DS Neo Bowser City,8
SN,JC,Starry Cityscape,10
SN,JC,GBA Bowser Castle 2,3
SN,JC,Big Nature City,3
SN,JC,DS Tick-Tock Clock,6
SN,JC,GBA Snow Land,12
SN,JC,Dark Matter Shrine,15
SN,JC,Desert Fort,6
SN,Bowser498,Superstar Dystopia,6
SN,Bowser498,Windy Whirl,6
SN,Bowser498,Underground Sky,10
SN,Bowser498,Marble Towers,4
SN,Bowser498,3DS Neo Bowser City,3
SN,Bowser498,Starry Cityscape,6
SN,Bowser498,GBA Bowser Castle 2,8
SN,Bowser498,Big Nature City,12
SN,Bowser498,DS Tick-Tock Clock,8
SN,Bowser498,GBA Snow Land,6
SN,Bowser498,Dark Matter Shrine,4
SN,Bowser498,Desert Fort,15
SN,Silver (bag),Superstar Dystopia,1
SN,Silver (bag),Windy Whirl,1
SN,Silver (bag),Underground Sky,0
SN,Silver (bag),Marble Towers,1
SN,Silver (bag),3DS Neo Bowser City,0
SN,Silver (bag),Starry Cityscape,0
SN,Silver (bag),GBA Bowser Castle 2,1
SN,Silver (bag),Big Nature City,0
SN,Silver (bag),DS Tick-Tock Clock,1
SN,Silver (bag),GBA Snow Land,0
SN,Silver (bag),Dark Matter Shrine,1
SN,Silver (bag),Desert Fort,0
FIB,Cow Jah (bag),Superstar Dystopia,0
FIB,Cow Jah (bag),Windy Whirl,0
FIB,Cow Jah (bag),Underground Sky,1
FIB,Cow Jah (bag),Marble Towers,0
FIB,Cow Jah,3DS Neo Bowser City,15
FIB,Cow Jah,Starry Cityscape,8
FIB,Cow Jah,GBA Bowser Castle 2,15
FIB,Cow Jah,Big Nature City,10
FIB,Cow Jah,DS Tick-Tock Clock,12
FIB,Cow Jah,GBA Snow Land,10
FIB,Cow Jah,Dark Matter Shrine,3
FIB,Cow Jah,Desert Fort,8
FIB,Slidair,Superstar Dystopia,2
FIB,Slidair,Windy Whirl,10
FIB,Slidair,Underground Sky,2
FIB,Slidair,Marble Towers,12
FIB,Slidair,3DS Neo Bowser City,6
FIB,Slidair,Starry Cityscape,2
FIB,Slidair,GBA Bowser Castle 2,6
FIB,Slidair,Big Nature City,2
FIB,Slidair,DS Tick-Tock Clock,10
FIB,Slidair,GBA Snow Land,15
FIB,Slidair,Dark Matter Shrine,2
FIB,Slidair,Desert Fort,4
FIB,azuki,Superstar Dystopia,12
FIB,azuki,Windy Whirl,3
FIB,azuki,Underground Sky,12
FIB,azuki,Marble Towers,10
FIB,azuki,3DS Neo Bowser City,2
FIB,azuki,Starry Cityscape,4
FIB,azuki,GBA Bowser Castle 2,2
FIB,azuki,Big Nature City,6
FIB,azuki,DS Tick-Tock Clock,3
FIB,azuki,GBA Snow Land,3
FIB,azuki,Dark Matter Shrine,8
FIB,azuki,Desert Fort,2
FIB,Woomy,Superstar Dystopia,2
FIB,Woomy,Windy Whirl,10
FIB,Woomy,Underground Sky,2
FIB,Woomy,Marble Towers,12
FIB,Woomy,3DS Neo Bowser City,6
FIB,Woomy,Starry Cityscape,2
FIB,Woomy,GBA Bowser Castle 2,6
FIB,Woomy,Big Nature City,2
FIB,Woomy (bag),DS Tick-Tock Clock,0
FIB,Woomy (bag),GBA Snow Land,0
FIB,Woomy (bag),Dark Matter Shrine,0
FIB,Woomy (bag),Desert Fort,0
FIB,Pat1,Superstar Dystopia,3
FIB,Pat1,Windy Whirl,2
FIB,Pat1,Underground Sky,3
FIB,Pat1,Marble Towers,2
FIB,Pat1,3DS Neo Bowser City,4
FIB,Pat1,Starry Cityscape,3
FIB,Pat1,GBA Bowser Castle 2,4
FIB,Pat1,Big Nature City,4
FIB,Pat1,DS Tick-Tock Clock,2
FIB,Pat1,GBA Snow Land,4
FIB,Pat1 (bag),Dark Matter Shrine,0
FIB,Pat1,Desert Fort,3
FIB,Jasonwhy,Superstar Dystopia,4
FIB,Jasonwhy,Windy Whirl,8
FIB,Jasonwhy,Underground Sky,4
FIB,Jasonwhy,Marble Towers,3
FIB,Jasonwhy (bag),3DS Neo Bowser City,1
FIB,Jasonwhy (bag),Starry Cityscape,1
FIB,Jasonwhy (bag),GBA Bowser Castle 2,0
FIB,Jasonwhy (bag),Big Nature City,1
FIB,Jasonwhy (bag),DS Tick-Tock Clock,0
FIB,Jasonwhy (bag),GBA Snow Land,1
FIB,Jasonwhy,Dark Matter Shrine,6
FIB,Jasonwhy (bag),Desert Fort,1
FIB,Javier,Superstar Dystopia,3
FIB,Javier,Windy Whirl,2
FIB,Javier,Underground Sky,3
FIB,Javier,Marble Towers,2
FIB,Javier,3DS Neo Bowser City,4
FIB,Javier,Starry Cityscape,3
FIB,Javier,GBA Bowser Castle 2,4
FIB,Javier,Big Nature City,4
FIB,Javier (bag),DS Tick-Tock Clock,0
FIB,Javier (bag),GBA Snow Land,0
FIB,Javier (bag),Dark Matter Shrine,0
FIB,Javier (bag),Desert Fort,0
fr,Mini Pekka,Castle of Darkness,15
fr,Mini Pekka,Pipe Underworld,15
fr,Mini Pekka,Lava Road,15
fr,Mini Pekka,Castle of Time,2
fr,Mini Pekka,Jungle Cliff,3
fr,Mini Pekka,Infernal Pipeyard,15
fr,Mini Pekka,Skyline Avenue,8
fr,Mini Pekka,Siberian Chateau,8
fr,Mini Pekka,Final Grounds,12
fr,Mini Pekka,GBA Bowser Castle 2,2
fr,Mini Pekka,GBA Bowser Castle 4,8
fr,Mini Pekka,Thwomp Swamp,3
fr,squirrel,Castle of Darkness,10
fr,squirrel,Pipe Underworld,4
fr,squirrel,Lava Road,12
fr,squirrel,Castle of Time,6
fr,squirrel,Jungle Cliff,3
fr,squirrel,Infernal Pipeyard,12
fr,squirrel,Skyline Avenue,10
fr,squirrel,Siberian Chateau,15
fr,squirrel,Final Grounds,10
fr,squirrel,GBA Bowser Castle 2,10
fr,squirrel,GBA Bowser Castle 4,6
fr,squirrel,Thwomp Swamp,4
fr,lord,Castle of Darkness,2
fr,lord,Pipe Underworld,6
fr,lord,Lava Road,2
fr,lord,Castle of Time,8
fr,lord,Jungle Cliff,2
fr,lord,Infernal Pipeyard,10
fr,lord,Skyline Avenue,6
fr,lord,Siberian Chateau,10
fr,lord,Final Grounds,15
fr,lord,GBA Bowser Castle 2,15
fr,lord,GBA Bowser Castle 4,3
fr,lord,Thwomp Swamp,15
fr,Arthur Morgan,Castle of Darkness,8
fr,Arthur Morgan,Pipe Underworld,2
fr,Arthur Morgan,Lava Road,3
fr,Arthur Morgan,Castle of Time,10
fr,Arthur Morgan,Jungle Cliff,15
fr,Arthur Morgan,Infernal Pipeyard,3
fr,Arthur Morgan,Skyline Avenue,15
fr,Arthur Morgan,Siberian Chateau,6
fr,Arthur Morgan,Final Grounds,8
fr,Arthur Morgan,GBA Bowser Castle 2,3
fr,Arthur Morgan,GBA Bowser Castle 4,11
fr,Arthur Morgan (bag),Thwomp Swamp,1
fr,Ford (bag),Castle of Darkness,0
